도서번호	등록번호	작가명(저자)	도서명	출판사
846	EM00872	새벽에 눈을 뜨면 가야 할 곳이 있다  : 민영 시집	민영	창비
847	EM00873	식물성 투쟁의지  : 조성웅 시집	조성웅	삶창
848	EM00874	즐겁지 않으면 인생이 아니다	"린 마틴 지음,신승미 옮김"	글담출판
849	EM00875	"후회할거야  : 십대,  지금이 아니면 하지 못할 것들"	"강신주,고경원,고규홍,김경,김남훈,김미월,김소연,김애란,김종휘,김추령,김현진,듀나,서민,신해원,윤지희,이명석,이용한,임순례,진산,함돈균,홍경님"	우리학교
850	EM00876	성난 얼굴로 돌아보라	"강신주,강준만,고미숙,노명우,문태준,이현우,정병설,정여울"	메디치
851	EM00877	상처받지 않을 권리 : 욕망에 흔들리는 삶을 위한 인문학적 보고서	강신주 지음	프로네시스
852	EM00878	AD 2054 우주커넥텀 리포트  : 포스트 아담 서곡	이정우 지음	가나출판사 :가나문화콘텐츠
853	EM00879	어느 별에서 왔니  : 실용 심리학 소설	김현경 지음	M&K
854	EM00880	공허한 십자가  : 히가시노 게이고 장편소설	"히가시노 게이고,옮긴이: 이선희"	자음과모음
855	EM00881	"(교양으로 읽는)생활속의 심리이야기  = ,Introduction to psychology"	정종진 지음	공동체
856	EM00882	지구를 이승이라 불러줄까  : 고형렬 시집	고형렬	문학동네
857	EM00883	"그러니까 비는,  객지에서 먼저 젖는다  : 서규정 시집"	서규정	작가세계
858	EM00884	나무는 간다  : 이영광 시집	이영광	창비
859	EM00885	물속의 피아노  : 신영배 시집	신영배	문학과지성사
860	EM00886	육체쇼와 전집  : 황병승 시집	황병승	문학과지성사
861	EM00887	여행자 나무  : 김명인 시집	김명인	문학과지성사
862	EM00888	하얀 별  : 김영산 시집	김영산	문학과지성사
863	EM00889	사랑이 다시 내게 말을 거네  : 외롭고 슬프고 고단한 그대에게  : 류근 산문집	류근 지음	곰곰
864	EM00890	희망 수업  : 희망은 눈물로 피는 꽃이다	서진규 지음	RHK(알에이치코리아)
865	EM00891	"현장에서 바라본 문학의 의미  = ,Understanding literature in the field  : 이경재 문학평론집"	이경재	소명출판
866	EM00892	생각 버리기 연습	"코이케 류노스케 지음,유윤한 옮김"	21세기북스
867	EM00894	(정민 선생님이 들려주는)고전 독서법	정민 지음	보림
868	EM00895	로스트 심벌	"댄 브라운 지음,안종설 옮김"	문학수첩
869	EM00896	로스트 심벌	"댄 브라운 지음,안종설 옮김"	문학수첩
870	EM00897	관계 정리가 힘이다	윤선현 지음	위즈덤하우스(wisdom house)
871	EM00898	지금도 나를 가르치는 아이	"글쓴이: 황금성,그린이: 황해뜨리"	단비
872	EM00899	"캘리그라피,  말씀으로 물들다  : 청현재이 캘리그라피 묵상집"	임동규 지음	섬김과나눔
873	EM00900	허난설헌의 시문학	김명희 저	국학자료원
874	EM00901	"한 우물에서 한눈팔기 : 서로 다른 생각들의 향연,  창의융합 콘서트"	강신주 외 저	베가북스
875	EM00902	청년 인생 공부  : 명동예술극장에서 인생을 배우다	강신주 외 지음	열림원
876	EM00903	돌이킬 수 있는 선택  : 선택은 인생이다	정결 지음	좋은땅
877	EM00904	내 하루는 늘 너를 우연히 만납니다	"김준 시,이혜민 그림"	글길나루
878	EM00905	"내가 이렇게 아픈데,  왜 그대는 그렇게 아픈가요  : 시가 먹은 에세이"	김준 지음	글길나루
879	EM00906	작은아이 더 작은아이	유진희	KB국민은행
880	EM00907	(소꿉놀이)종이접기	은하수미디어 편집부 편	은하수미디어
881	EM00908	금방 괜찮아지는 마음  : 상처받지 않는 마음을 만드는 심리의 기술 49	"나이토 요시히토 지음,김정환 옮김"	꼼지락
882	EM00909	운을 부르는 부자의 말투  : 말과 운의 관계를 알면 인생이 바뀐다	"미야모토 마유미 지음,김지윤 옮김"	포레스트북스
883	EM00910	(인생의 중간쯤 왔다면) 이제 나를 안아줘야 할 시간  : 기댈 곳이 사라진 당신에게 보내는 심리학 편지	한성희 지음	위즈덤하우스
884	EM00911	'나'라는 상품을 비싸게 파는 방법  : 더 효율적이고 더 특별하게 가치를 끌어올리는 기술	"나가이 다카히사 지음,노경아 옮김"	갤리온 :웅진씽크빅
885	EM00913	고양이의 탄생	"이안 시,김세현 그림"	문학동네
886	EM00915	어쨌든 발렌타인	강윤화 지음	창비
887	EM00916	글쓰기 왕 랄프  : 입말 따라 시작하는 글쓰기	"애비 핸런 글·그림,이미영 옮김"	내인생의책
888	EM00917	기억의 끈	"이브 번팅 글,테드 랜드 그림,신혜은 옮김"	사계절
889	EM00918	(한 권으로 끝내는) 교과서 실험관찰  : 5·6 학년	"집필: 양일호,권석원,김은애,김지영,남지연,송윤미,이소리,임성만,한제준,삽화: 김나미,최영아"	북이십일 아울북
890	EM00919	개구쟁이 해리  : 바다 괴물이 되었어요	"G. 자이언 글,M. 그래엄 그림,임정재 옮김"	이퍼블릭
891	EM00920	(축복과 기원을 담은 통과의례) 나이살이	"청동말굽 기획·글,고광삼 그림"	문학동네
892	EM00921	나는 평화를 꿈꿔요	"유니세프 엮음,김영무 옮김"	비룡소
893	EM00924	"고향의 봄 캄보디아어판,  영어판"	"이원수 글,김동성 그림"	파랑새
894	EM00925	m?a xu?n c?a qu? h??ng 고향의 봄	"이원수 글,김동성 그림"	파랑새
895	EM00926	고향의 봄중국어 영어 공동표기	"이원수 글,김동성 그림"	파랑새
896	EM00927	밥데기 죽데기	"권정생, 박지훈"	바오로딸
897	EM00928	내 이름은 구구 스니커즈	"김유 지음,오정택 그림"	창비
898	EM00929	동화책을 먹은 바둑이	"노경실 글,김명심,신가영,심은숙 그림"	사계절
899	EM00930	미미의 일기	공지영 지음	주니어김영사
900	EM00931	칸트 아저씨네 연극반	"예영 글,김효진 그림,심옥숙 도움글"	주니어김영사 :김영사
901	EM00932	헤겔 아저씨네 희망복지관	"함영연 글,강경수 그림,심옥숙 도움글"	주니어김영사 :김영사
902	EM00933	셰익스피어 아저씨네 문구점	"신영란 글,주성희 그림"	주니어김영사
903	EM00934	아리스토텔레스 아저씨네 약국	"박현숙 글,윤지회 그림"	주니어김영사:김영사
904	EM00935	정약용 아저씨의 책 읽는 밥상	"김선희 글,박해남 그림,곽은우 도음글"	주니어김영사
905	EM00936	톨스토이 할아버지네 헌책방	"권안 글,조미경 도움글,김효진 그림"	주니어김영사
906	EM00937	피카소 아저씨네 과일가게	"신영란 글,김성희 그림"	주니어김영사
907	EM00938	난 뭐든지 금방 싫증나	"박비소리 글,반성희 그림"	씨앤톡
908	EM00939	난 쟤가 싫어!	"박비소리 글,박종연 그림"	
909	EM00940	(만화) 마키아벨리 : 군주론	"윤원근 글,조진옥 그림"	주니어김영사
910	EM00941	(만화) 헤로도토스 : 역사	"권오경 글,진선규 그림"	주니어김영사
911	EM00942	"(만화)노자 도덕경 = ,道德經"	"최훈동 글,이남고 그림"	주니어김영사
912	EM00943	"(만화)플라톤 국가 = ,Politeia"	"손영운 글,이규환 그림"	주니어김영사
913	EM00944	마더 테레사 아줌마네 동물병원	"김하은 글,권송이 그림"	주니어김영사:김영사
914	EM00945	플라톤 아저씨네 이데아 분식점	"김하은 글,유준재 그림"	주니어김영사
915	EM00947	"새엄마,  잉어공주"	"정수민, 김지현"	가문비
916	EM00948	황금 똥을 누는 아이	"홍은경 글,정민아 그림"	느림보
917	EM00949	또 잘못 뽑은 반장	"이은재 글,신민재 그림"	주니어김영사 :김영사
918	EM00950	(2학년) 교과서 속 전래동화 쏙쏙 뽑아 읽기	"세사람 지음,이명애 그림."	풀빛
919	EM00951	"현수야,  넌 내 마음 아니?"	"노경실, 오은영"	아이앤북
920	EM00952	백령도 점박이물범 두올이	"이퐁 글,아이완 그림"	국민서관
921	EM00953	반성해와 괴물 삐죽이	"이현서 글,이희랑 그림"	꿈소담이 :소담주니어
922	EM00954	처음 받은 상장	"이상교 글,허구 그림"	국민서관
923	EM00955	널리 인간을 이롭게 하라	"김이하 글,이남구 그림"	한국톨스토이
924	EM00956	고인돌이 무덤이라고?	"이붕 글,안상선 그림"	한국톨스토이
925	EM00957	벽화에서 나온 고구려 무사	"송은명 글,최철민 그림"	한국톨스토이
926	EM00958	하늘나라로 달려간 열두 동물들	"오경문 글,한창수 그림"	한국톨스토이
927	EM00959	신라의 수도 경주로 가 볼까?	"류은 글,한동훈 그림"	한국톨스토이
928	EM00960	멍멍이도 하늘 천 땅 지	"이붕 글,조예정 그림"	한국톨스토이
929	EM00961	"조상님,  왜 일본으로 가셨나요?"	"송은명 글,이상미 그림"	한국톨스토이
930	EM00962	"돈 나와라,  뚝딱!"	"오경문 글,김남주 그림"	한국톨스토이
931	EM00963	장원 급제한 세자마마	"봉현주 글,강미선 그림"	한국톨스토이
932	EM00964	내 솜씨 한번 볼래?	"김정호 글,박철민 그림"	한국톨스토이
933	EM00965	"장승아,  마을을 지켜 줘"	"김이하 글,최철민 그림"	한국톨스토이
934	EM00966	집 안에 웬 신이 이리 많을까	"양혜원 글,정미선 그림"	한국톨스토이
935	EM00967	떡국 먹고 송편 빚고	"이붕 글,김정진 그림"	한국톨스토이
936	EM00968	달아 달아 둥근 달아	"배유라 글,오승원 그림"	한국톨스토이
937	EM00969	"향단아,  그네를 밀어라"	"송원근 글,홍우리 그림"	한국톨스토이
938	EM00970	고추 달고 숯 달고	"양혜원 글,에스더 그림"	한국톨스토이
939	EM00971	연지 찍고 가마 타고	"오경문 글,신경선 그림"	한국톨스토이
940	EM00972	꽃가마 탄 할아버지	"봉현주 글,원현진 그림"	한국톨스토이
941	EM00973	어절씨구 한판 놀아 보세	"배유라 글,김순영 그림"	한국톨스토이
942	EM00974	덩더꿍덩더꿍 탈춤을 추자	"김도담 글,김소영 그림"	한국톨스토이
943	EM00975	북돌이와 종칠이의 꿈	"오경문 글,한창수 그림"	한국톨스토이
944	EM00976	거문고 뜯고 가야금 타고	"정길선 글,이미정 그림"	한국톨스토이
945	EM00977	최고의 소리꾼이 되고 싶어	"김이하 글,정성화 그림"	한국톨스토이
946	EM00978	"에헤라,  풍년일세!"	"김사벳 글,이승석 그림"	한국톨스토이
947	EM00979	"푸짐한 밥상,  소박한 밥상"	"김정호 글,문종성 그림"	한국톨스토이
948	EM00980	쑥떡쑥떡 떡 잔치가 열렸네	"장소영 글,김동성 그림"	한국톨스토이
949	EM00981	이거 한번 먹어 봐	"김성희 글,최현주 그림"	한국톨스토이
950	EM00982	김치 없이는 못 살아	"송원근 글,이경희 그림"	한국톨스토이
951	EM00983	쿠크 별로 간 된장	"김도담 글,장효원 그림"	한국톨스토이
952	EM00984	"아빠,  장 보러 가요"	"김정호 글,전병준 그림"	한국톨스토이
953	EM00985	전주비빔밥에 안동 식혜	"김정호 글,장인찬 그림"	한국톨스토이
954	EM00986	"앗,  김홍도 할아버지다!"	"김정호 글,이주록 그림"	한국톨스토이
955	EM00987	"단청아,  넌 너무 예뻐"	"김이하 글,장혜련 그림"	한국톨스토이
956	EM00988	쪽빛으로 하늘을 물들인 선녀	"오경문 글,이영옥 그림"	한국톨스토이
957	EM00989	족두리 쓰고 비녀 꽂고	"김사벳 글,전수진 그림"	한국톨스토이
958	EM00990	알록달록 한복이 좋아	"이명은 글,김용옥 그림"	한국톨스토이
959	EM00991	세상에서 가장 아름다운 탑	"오경문 글,하현이 그림"	한국톨스토이
960	EM00992	하늘빛을 담은 청자	"김성희 글,이윤하 그림"	한국톨스토이
961	EM00993	베틀로 한 올 한 올	"김도담 글,최영아 그림"	한국톨스토이
962	EM00994	마당쇠가 흘린 땀 한 되	"윤대식,김학민 글,김박 그림"	한국톨스토이
963	EM00995	값이 전부 몇 냥이오?	"김정호 글,양수홍 그림"	한국톨스토이
964	EM00996	타당타당 못 만드는 게 없어	"오경문 글,류동필 그림"	한국톨스토이
965	EM00997	"이랴! 소야,  쟁기 좀 끌어라"	"김이하 글,류동필 그림"	한국톨스토이
966	EM00998	쿵덕쿵덕 방아를 찧어라	"윤용현,김경란 글,최철민 그림"	한국톨스토이
967	EM00999	볏짚을 꼬고 엮고 묶고	"배유라 글,김희정 그림"	한국톨스토이
968	EM01000	종이에 세상을 담아	"노희옥 글,배수연 그림"	한국톨스토이
969	EM01001	데굴데굴 바퀴야 굴러라	"송은명 글,이희탁 그림"	한국톨스토이
970	EM01002	절이고 삭히고 말리고	"김성희 글,유경래 그림"	한국톨스토이
971	EM01003	황토는 도깨비방망이!	"양혜원 글,박수아 그림"	한국톨스토이
972	EM01004	"허준 의원님,  개똥이가 아파요"	"황희정 글,정성화 그림"	한국톨스토이
973	EM01005	산삼을 찾아 떠난 용이	"오경문 글,이주룩 그림"	한국톨스토이
974	EM01006	"한 달에 두 번,  일 년에 스물네 번"	"류은 글,최철민 그림"	한국톨스토이
975	EM01007	밥 지어 먹고 옷 빨아 입고	"손수자 글,허태준 그림"	한국톨스토이
976	EM01008	기와를 얹을까 볏짚을 올릴까?	"송은명 글,정윤주 그림"	한국톨스토이
977	EM01009	선비가 알아낸 한지의 비밀	"김이하 글,장인찬 그림"	한국톨스토이
978	EM01010	참숯은 못하는 게 없어!	"강재윤 글,이기환 그림"	한국톨스토이
979	EM01011	항아리가 숨을 쉰다고?	"옹기민속박물관 글,이오 그림"	한국톨스토이
980	EM01012	"몽골아,  썩 물러서라"	"함지슬 글,아리 그림"	한국톨스토이
981	EM01013	가장 먼저 파고 찍고	"정동찬 글,이경국 그림"	한국톨스토이
982	EM01014	세종 대왕님! 우리 글자 만들어 주세요	"김학민 글,김연정 그림"	한국톨스토이
983	EM01015	장 서방네 온돌 놓는 날	"김준봉 글,김충권 그림"	한국톨스토이
984	EM01016	"해야,  지금 몇 시니?"	"김동희 글,김병하 그림"	한국톨스토이
985	EM01017	"앗,  거북이가 불을 뿜네"	"오경문 글,김세현 그림"	한국톨스토이
986	EM01018	쓱싹 벨까? 슝슝 쏠까?	"윤용현 글,류동필 그림"	한국톨스토이
987	EM01019	(조선이 깜짝 놀란)장영실의 발명	"이향안 글,류동필 그림"	한국톨스토이
988	EM01020	(꼭 필요한 정보를 찾아 줘)래리 페이지	"이현 글,우연이 그림"	한국톨스토이
989	EM01021	우주의 비밀을 파헤친 스티븐 호킹	"이정범 글,옥지현 그림"	한국톨스토이
990	EM01022	라이트 형제 하늘을 날다	"김현태 글,이미정 그림"	한국톨스토이
991	EM01023	거미줄에 걸린 거미 박사 남궁준	"김경란 글,임양 그림"	한국톨스토이
992	EM01024	천재는 좀 이상해 아인슈타인	"신혜진 글,정광필 그림"	한국톨스토이
993	EM01025	파브르는 곤충을 사랑해	"박성철 글,김정진 그림"	한국톨스토이
994	EM01026	사과가 뚝! 뉴턴	"신혜진 글,안재선 그림"	한국톨스토이
995	EM01027	인류의 평화를 원한 발명가 노벨	"김경희 글,오승원 그림"	한국톨스토이
996	EM01028	달걀을 품은 엉뚱한 에디슨	"김현태 글,안재선 그림"	한국톨스토이
997	EM01029	궁금한 건 못 참아 갈릴레이	"정혜숙 글,조신애 그림"	한국톨스토이
998	EM01030	가난한 사람들의 어머니 마더 테레사	"김현태 글,정병수 그림"	한국톨스토이
999	EM01031	바보 의사 장기려	"신자은 글,이상인 그림"	한국톨스토이
1000	EM01032	인도 독립의 아버지 간디	"양태석 글,최지경 그림"	한국톨스토이
1001	EM01033	조선 최고의 명의 허준	"이혜옥 글,조영선 그림"	한국톨스토이
1002	EM01034	천사의 마음을 가진 오드리 헵번	"이혜옥 글,조영선 그림"	한국톨스토이
1003	EM01035	아프리카에 뿌린 사랑 슈바이처	"김경란 글,이선민 그림"	한국톨스토이
1004	EM01036	가장 낮은 곳에서 사랑을 펼친 이태석	"장경원 글,최준규 그림"	한국톨스토이
1005	EM01037	모든 사람은 똑같다 마틴 루서 킹	"이향안 글,조은애 그림"	한국톨스토이
1006	EM01038	(모두 사랑하세요)김수환	"이향안 글,김재희 그림"	한국톨스토이
1007	EM01039	침팬지의 친구 제인 구달	"김현태 글,이오 그림"	한국톨스토이
1008	EM01040	사랑의 교육자 페스탈로치	"해랑 글,조신애 그림"	한국톨스토이
1009	EM01041	깨달음을 얻은 석가모니	"이경혜 글,유현아 그림"	한국톨스토이
1010	EM01042	예수 그리스도 : 모두를 사랑한	"민혜정 글, 전혜령 그림"	한국톨스토이
1011	EM01043	버락 오바마  : 차별의 벽을 넘어	"양승현 글,루인 그림"	한국톨스토이
1012	EM01044	나라를 사랑한 김구	"송윤섭 글,이주현 그림"	한국톨스토이
1013	EM01045	잭 웰치 : 전설의 경영자	"양승현 글, 신유미 그림"	한국톨스토이
1014	EM01046	적을 막아라 이순신	"이경혜 글,김세현 그림"	한국톨스토이
1015	EM01047	우리나라 최초 여성 비행사 권기옥	"허원숙 글,김희정 그림"	한국톨스토이
1016	EM01048	용기 있는 대통령 링컨	"김경란 글,이남구 그림"	한국톨스토이
1017	EM01049	삼국 통일의 꿈 김유신	"봉현주 글,전병준 그림"	한국톨스토이
1018	EM01050	낡은 옷을 입은 부자 워런 버핏	"정회성 글,김미선 그림"	한국톨스토이
1019	EM01051	한글을 만든 세종 대왕	"서석영 글,김세현 그림"	한국톨스토이
1020	EM01052	마음을 움직여라 마거릿 대처	"서석영 글,김용옥 그림"	한국톨스토이
1021	EM01053	목숨 바쳐 나라를 사랑한 안중근	"이향안 글,강승원 그림"	한국톨스토이
1022	EM01054	나무들의 어머니 왕가리 마타이	"허원숙 글,김정진 그림"	한국톨스토이
1023	EM01055	해리포터를 만든 조앤 롤링	"김유리 글,홍성지 그림"	한국톨스토이
1024	EM01056	나를 따르라 나폴레옹	"봉현주 글,이상미 그림"	한국톨스토이
1025	EM01057	우리나라 최초의 여성 변호사 이태영	"이미애 글,신경란 그림"	한국톨스토이
1026	EM01058	대륙을 정복한 광개토 대왕	"전민희 글,이남구 그림"	한국톨스토이
1027	EM01059	펠레는 축구 왕	"박성철 글,이경국 그림"	한국톨스토이
1028	EM01060	고려를 세운 왕건	"전민희 글,이관수 그림"	한국톨스토이
1029	EM01061	종이에 그린 우리나라 김정호	"송윤섭 글,노성빈 그림"	한국톨스토이
1030	EM01062	존 고다드 꿈을 꾸고 쓰고 이루다	"양승현 글,최호정 그림"	한국톨스토이
1031	EM01063	가장 넓은 땅을 정복한 칭기즈 칸	"해랑 글,류동필 그림"	한국톨스토이
1032	EM01064	(어린이 날을 만든 소파)방정환	"차보금 글,홍성지 그림"	한국톨스토이
1033	EM01065	새로운 세상을 찾아낸 콜럼버스	"김경란 글,주윤미 그림"	한국톨스토이
1034	EM01066	컴퓨터 황제 빌 게이츠	"송윤섭 글,박혜진 그림"	한국톨스토이
1035	EM01067	(섬소년)장보고 바다를 지키다	"해랑 글,김태현 그림"	한국톨스토이
1036	EM01068	헬렌 켈러가 보낸 편지	"김경란 글,문지후 그림"	한국톨스토이
1037	EM01069	자동차 박사 헨리 포드	"박성철 글,심상정 그림"	한국톨스토이
1038	EM01070	꿈과 희망의 동화를 쓴 안데르센	"양태석 글,이주윤 그림"	한국톨스토이
1039	EM01071	훈맹정음을 만든 박두성	"장경원 글,김정진 그림"	한국톨스토이
1040	EM01072	조선을 그림에 담은 김홍도	"신혜진 글,김은정 그림"	한국톨스토이
1041	EM01073	네 꿈을 영화로 스티븐 스필버그	"정회성 글,김연정 그림"	한국톨스토이
1042	EM01074	어린이와 소를 사랑한 이중섭	"정회성 글,김순영 그림"	한국톨스토이
1043	EM01075	레오나르도 다빈치 : 천재가 그린 그림	"신혜진 글, 김충권 그림"	한국톨스토이
1044	EM01076	텔레비전으로 뚝딱뚝딱 백남준	"김경란 글,최용호 그림"	한국톨스토이
1045	EM01077	스티브 잡스 : 사과 깃발 휘날리며	"신혜진 글, 옥지현 그림"	한국톨스토이
1046	EM01078	하얀 옷을 입은 디자이너 앙드레 김	"양태석 글,조은애 그림"	한국톨스토이
1047	EM01079	태양 빛을 그려요 빈센트 반 고흐	"이혜옥 글,유혜경 그림"	한국톨스토이
1048	EM01080	찰리 채플린은 즐거워	"이정범 글,황요섭 그림"	한국톨스토이
1049	EM01081	베토벤은 음악을 좋아해	"해랑 글,이남구 그림"	한국톨스토이
1050	EM01082	음악과 친해져 봐 모차르트	"해랑 글,김병남 그림"	한국톨스토이
1051	EM01083	즐거운 이야기꾼 셰익스피어	"양태석 글,박수현 그림"	한국톨스토이
1052	EM01084	글 잘 쓰는 톨스토이	"이정범 글,허구 그림"	한국톨스토이
1053	EM01085	예쁜 집을 지어요 가우디	"이경혜 글,김병남 그림"	한국톨스토이
1054	EM01086	가난한 사람들의 친구 교황 프란치스코	"장경원 글,루인 그림"	한국톨스토이
1055	EM01087	그림 그리는 어머니 신사임당	"서석영 글,손지훈 그림"	한국톨스토이
1056	EM01088	넬슨 만델라  : 흑인들을 위해 외치다	"엄미랑 글, 이형진 그림"	한국톨스토이
1057	EM01089	헬렌 니어링 : 자연이 좋아	"이혜옥 글, 양경미 그림"	한국톨스토이
1058	EM01090	행복한 세상을 꿈꾸는 무함마드 유누스	"장종택 글,유명희 그림"	한국톨스토이
1059	EM01091	베풂을 몸소 보여 준 김만덕	"이상민 글,손샛별 그림"	한국톨스토이
1060	EM01092	백성이 잘사는 게 최고야 정약용	"전민희 글,진선미 그림"	한국톨스토이
1061	EM01093	신의 손을 가진 의사 벤 카슨	"신지명 지음,민재회 그림"	한국톨스토이
1062	EM01094	책벌레 이황	"봉현주 글,황유리 그림"	한국톨스토이
1063	EM01095	"한글아,  사랑해 주시경"	"봉현주 글,장선환 그림"	한국톨스토이
1064	EM01096	바르게 살아요 공자	"봉현주 글,전혜령 그림"	한국톨스토이
1065	EM01097	세계의 대통령 반기문	"정회성 글,이명애 그림"	한국톨스토이
1066	EM01098	말 잘하는 오프라 윈프리	"김현태 글,조현경 그림"	한국톨스토이
1067	EM01099	우리 문화재를 지킨 전형필	"이미애 글,김순영 그림"	한국톨스토이
1068	EM01100	유일한의 나눔	"서석영 글,장혜련 그림"	한국톨스토이
1069	EM01101	이크발 마시 : 작은 영웅	"김정란 글, 유현준 그림"	한국톨스토이
1070	EM01102	나비 박사 석주명	"이상임 글,손지훈 그림"	한국톨스토이
1071	EM01103	세상을 지휘하다 카라얀	"전민희 글,정혜윤 그림"	한국톨스토이
1072	EM01104	미야자키 하야오의 만화 영화	"김경란 글,정성화 그림"	한국톨스토이
1073	EM01105	오리아나 팔라치 기자가 되다	"정은 글,허현경 그림"	한국톨스토이
1074	EM01106	마르코 폴로의 탐험	"이경혜 글,전기윤 그림"	한국톨스토이
1075	EM01107	하늘을 날아서 슛! 마이클 조던	"박성철 글,김윤명 그림"	한국톨스토이
1076	EM01108	너도 할 수 있어 카네기	"박성철 글,김충권 그림"	한국톨스토이
1077	EM01109	월트 디즈니 : 내 사랑 미키 마우스	"김현태 글, 정호선 그림"	한국톨스토이
1078	EM01110	내 아이도 통큰 인물	"신혜진 글,최해영 그림"	한국톨스토이
1079	EM01111	"나의 멘토,  나의 멘티"	"이나미 글,최지경 그림"	한국톨스토이
1080	EM01112	"한국 인물이 나도 나도,  에헴!"	"이향안 글,김미연 그림"	한국톨스토이
1081	EM01113	"세계 인물이 나도 나도,  헬로!"	"김경란 글,홍성지 그림"	한국톨스토이
1082	EM01114	성공의 좋은 습관	"김경희 글,이선희 외 그림"	한국톨스토이
1083	EM01115	별난 직업들	"김경희 글,오유선 외 그림"	한국톨스토이
1084	EM01116	지구력을 가진 노벨상 인물들	"오수민 글,최지경 외 그림"	한국톨스토이
1085	EM01117	위대한 피플	"장경원 글,최상규 외 그림"	한국톨스토이
1086	EM01118	(니 하오 중국) 쿵후 소년 장비	"손요 글,김지민 그림"	한솔수북 :한솔교육
1087	EM01119	우정의 섬 일로일로	"송혜진,이대연 글, 홍자희 그림,전국다문화가족사업지원단 공동기획"	한솔교육:한솔수북
1088	EM01120	(신 짜오 베트남) 태권팥쥐와 베트콩쥐	"김영희 글,김정연 그림"	한솔수북
1089	EM01121	으라차차 바야르 2  : 센 베노 몽골	"서해경 ,강수인 ,중앙건강가정지원센터 공동기획"	한솔수북
1090	EM01122	도서관의 비밀	"통지아 글·그림,박지민 옮김"	그린북
1091	EM01123	팥이 영감과 우르르 산토끼	박재철 글.그림	길벗어린이
1092	EM01124	알몸으로 학교 간 날	"타이-마르크 르탄 글,벵자맹 쇼 그림,이주희 옮김"	아름다운사람들
1093	EM01125	기분을 말해 봐!	"앤서니 브라운 글·그림,홍연미 옮김"	웅진주니어
1094	EM01126	야옹이가 제일 좋아하는 색깔은?	"제인 커브레라 지음,김향금 옮김"	보림(보림출판사)
1095	EM01127	알을 품은 여우	"이사미 이쿠요 글·그림,허앵두 옮김"	한림출판사
1096	EM01128	안젤로	"데이비드 맥컬레이 글·그림,김서정 옮김"	북뱅크
1097	EM01129	말하는 나무	"오스카 와일드 원작,조은수 글·그림"	문학동네
1098	EM01130	부자의 밥상 양반의 밥상	"허시명 글,배진희,손다혜 그림,금동이책 기획"	웅진씽크빅:씽크하우스
1099	EM01131	태양의 새 삼족오	"유다정 글,최용호 그림"	창비
1100	EM01132	낫토와 비빔밥  : 곤니치와 일본	"타가미 요코,이대연 공글,전혜주 그림"	한솔수북:한솔교육
1101	EM01133	신나게 자유롭게 뻥!  : 황선미 인권 동화	"황선미 글,정진희 그림"	베틀북
1102	EM01134	하늘나라 풀밭으로	"글쓴이: 우봉규,그린이: 양상용"	중앙출판사
1103	EM01135	청소년 벌에 쏘였다 : 남호섭 동시집	"남호섭 글,고찬규 그림"	창비
1104	EM01136	오늘 떠든 사람 누구야?	"윤해연 글,김진화 그림"	비룡소
1105	EM01137	그리운 매화향기	"장주식 지음,김병하 그림"	한겨레아이들
1106	EM01138	내 마음을 아는지 모르는지	이명랑 지음	미래엔
1107	EM01139	1등 봉구	"조경희,그린이: 한상언"	교학사
1108	EM01140	(6월 1일) 절교의 날	"김리리 글,조승연 그림"	다림
1109	EM01141	달맞이꽃은 왜 밤에만 필까	"김은하 글,황정아 그림"	아이세움
1110	EM01142	장건우한테 미안합니다	이경화 지음	바람의아이들
1111	EM01143	민지와 다람쥐	"채인선 글,김효은 그림"	책읽는곰
1112	EM01144	어이없는 놈	"김개미 시,오정택 그림"	문학동네
1113	EM01145	목욕탕에서 선생님을 만났다  : 강정규 시	"강정규,그린이: 손지희"	문학동네
1114	EM01146	맨날맨날 착하기는 힘들어	"안진영 시,윤봉선 그림"	문학동네
1115	EM01147	조커와 나  : 김중미 소설집	김중미	창비
1116	EM01148	지렁이 일기 예보	"유강희 시,이고은 그림"	비룡소
1117	EM01149	"아이코,  살았네!"	"이주영, 김홍모"	고인돌
1118	EM01150	(우당탕탕) 재강이 구출 작전	"김리리 글,조승연 그림"	다림
1119	EM01151	"내 아이의 리더십,  초등 반장 선거로 결정된다"	이혜범 지음	예담프렌드
1120	EM01152	(초등학생을 위한) 탈무드 111가지	세상모든책 편집부 엮음	세상모든책
1121	EM01153	하늘로 날아간 집오리  : 이상권 생태 동화집	"이상권 지음,장양선 그림"	창비
1122	EM01154	할아버지 손은 약손	"한수연 지음,이유진 그림"	하늘을나는교실
1123	EM01155	위대한 발명품이 나를 울려요	"햇살과나무꾼 글씀,박향미 그림"	사계절
1124	EM01156	말해 버릴까?	"히비 시게키 글,김유대 그림,양광숙 옮김"	보림
1125	EM01157	내 색시는 누구일까	김종도 글·그림	보리
1126	EM01158	동시는 똑똑해 : 김미희 동시집	"김미희 지음,양경희 그림"	뜨인돌어린이
1127	EM01159	욕심쟁이 왕도둑  : 김일옥 창작동화	"김일옥,그린이: 한상언"	별숲
1128	EM01160	금자를 찾아서	"오미경 글,홍선주 그림."	보물창고
1129	EM01161	마법의 설탕 두 조각	"미하엘 엔데 글,진드라 차페크 그림,유혜자 옮김"	소년한길
1130	EM01162	펭귄의 잘못된 계약	"데이비드 허친스 글,바비 곰버트 그림,옮긴이: 박선희"	바다어린이 :바다출판사
