도서번호	등록번호	작가명(저자)	도서명	출판사
49	EM00049	공간이 만든 공간  : 새로운 생각은 어떻게 만들어지는가	유현준 지음	을유문화사
50	EM00050	설민석의 책 읽어드립니다  : 세상의 모든 책썸 남녀를 위하여	"설민석, 한정석"	Dankkum i(단꿈아이)
51	EM00051	아몬드  : 손원평 장편소설	손원평 지음	창비
52	EM00052	(식객 허영만의) 백반기행  : 식객이 뽑은 진짜 맛집 200	"허영만,TV조선 <식객 허영만의 백반기행> 제작팀"	가디언
53	EM00053	푸름아빠 거울육아  : 엄마의 감정을 거울처럼 비추는 아이	최희수 지음	한국경제신문 :한경BP
54	EM00054	보건교사 안은영  : 정세랑 장편소설	정세랑 지음	민음사
55	EM00055	김미경의 리부트  : 코로나로 멈춘 나를 다시 일으켜 세우는 법	김미경 지음	웅진지식하우스 :웅진씽크빅
56	EM00056	지적 생활의 설계 : 넘치는 정보를 내것으로 낚아채는 지식 탐구 생활	"호리 마사타케 지음,홍미화 옮김"	홍익출판사
57	EM00057	(10대를 위한) 정의란 무엇인가  : 하버드대 마이클 샌델 교수의 정의 수업	"마이클 샌델 원저,신현주 글,조혜진 그림"	MiraeN 아이세움 :미래엔
58	EM00058	존리의 부자되기 습관  : 대한민국 경제독립 액션 플랜	존리 지음	지식노마드
59	EM00059	정부가 집값을 안 잡는 이유	윤세경 지음	IREH(이레퍼블리싱)
60	EM00060	완전한 행복  : 정유정 장편소설	정유정	은행나무
61	EM00061	미드나잇 라이브러리	"매트 헤이그 지음,노진선 옮김"	인플루엔셜
62	EM00062	오래 준비해온 대답  : 김영하의 시칠리아	글·사진: 김영하	복복서가
63	EM00063	"지리의 힘  : 지리는 어떻게 개인의 운명을,  세계사를,  세계 경제를 좌우하는가"	"팀 마샬 지음,김미선 옮김"	사이
64	EM00064	성숙한 어른이 갖춰야 할 좋은 심리 습관	"류쉬안 지음,원녕경 옮김"	다연
65	EM00065	내가 원하는 것을 나도 모를 때  : 잃어버린 나를 찾는 인생의 문장들	전승환 지음	다산초당 :다산북스
66	EM00066	철도원 삼대  : 황석영 장편소설	황석영	창비
67	EM00067	"녹나무의 파수꾼  = ,The camphorwood custodian"	"히가시노 게이고,옮긴이: 양윤옥"	소미미디어
68	EM00068	"코로나 사피엔스  = ,Corona sapiens  : 문명의 대전환,  대한민국 대표 석학 6인이 신인류의 미래를 말한다"	"최재천,장하준,최재붕,홍기빈,김누리,김경일,정관용 지음"	인플루엔셜
69	EM00069	복자에게  : 김금희 장편소설	김금희	문학동네
70	EM00070	소년이 온다  : 한강 장편소설	한강 지음	창비
71	EM00071	달 너머로 달리는 말  : 김훈 장편소설	김훈	파람북
