도서명,저자,출판사
김미경의 리부트 : 코로나로 멈춘 나를 다시 일으켜 세우는 법,김미경 지음,웅진지식하우스 :웅진씽크빅
지적 생활의 설계 : 넘치는 정보를 내것으로 낚아채는 지식 탐구 생활,"호리 마사타케 지음,홍미화 옮김",홍익출판사
(10대를 위한) 정의란 무엇인가 : 하버드대 마이클 샌델 교수의 정의 수업,"마이클 샌델 원저,신현주 글,조혜진 그림",MiraeN 아이세움 :미래엔
존리의 부자되기 습관 : 대한민국 경제독립 액션 플랜,존리 지음,지식노마드
정부가 집값을 안 잡는 이유,윤세경 지음,IREH(이레퍼블리싱)
완전한 행복 : 정유정 장편소설,정유정,은행나무
미드나잇 라이브러리,"매트 헤이그 지음,노진선 옮김",인플루엔셜
오래 준비해온 대답 : 김영하의 시칠리아,글·사진: 김영하,복복서가
"지리의 힘 : 지리는 어떻게 개인의 운명을, 세계사를, 세계 경제를 좌우하는가","팀 마샬 지음,김미선 옮김",사이
성숙한 어른이 갖춰야 할 좋은 심리 습관,"류쉬안 지음,원녕경 옮김",다연
내가 원하는 것을 나도 모를 때 : 잃어버린 나를 찾는 인생의 문장들,전승환 지음,다산초당 :다산북스
철도원 삼대 : 황석영 장편소설,황석영,창비
"녹나무의 파수꾼 = ,The camphorwood custodian","히가시노 게이고,옮긴이: 양윤옥",소미미디어
"코로나 사피엔스 = ,Corona sapiens : 문명의 대전환, 대한민국 대표 석학 6인이 신인류의 미래를 말한다","최재천,장하준,최재붕,홍기빈,김누리,김경일,정관용 지음",인플루엔셜
복자에게 : 김금희 장편소설,김금희,문학동네
소년이 온다 : 한강 장편소설,한강 지음,창비
달 너머로 달리는 말 : 김훈 장편소설,김훈,파람북
"파타고니아, 파도가 칠 때는 서핑을 : 지구가 목적, 사업은 수단 인사이드 파타고니아","이본 쉬나드 지음,이영래 옮김",라이팅하우스
혼자 사니 좋다,서정희 지음,Mons(몽스북)
현명한 투자자 : 벤저민 그레이엄 직접 쓴 마지막 개정판,"벤저민 그레이엄 지음,이건 옮김",국일증권경제연구소
지쳤거나 좋아하는 게 없거나,글배우 지음,강한별
일 잘하는 사람은 단순하게 말합니다,박소연 지음,더 퀘스트 :길벗
사람에 대한 예의,권석천,어크로스
(2020 제11회) 젊은작가상 수상작품집,"강화길,최은영,이현석,김초엽,장류진,장희원",문학동네
"룬샷 : 전쟁, 질병, 불황의 위기를 승리로 이끄는 설계의 힘","사피 바칼 지음,이지연 옮김",흐름출판
"코로나 투자 전쟁 = ,Money war : 전 세계 금융 역사 이래 최대의 유동성","정채진,박석중,이광수,김한진,김일구,여의도클라스,윤지호,최준영 지음",Page2(페이지2북스)
2021년 올해의도서 강남 사장님 (황금도깨비상 수상작),"이지음 글,국민지 그림",비룡소
수상한 화장실,"박현숙 글,유영주 그림",북멘토
수상한 화장실,"박현숙 글,유영주 그림",북멘토
(읽으면서 바로 써먹는) 어린이 수수께끼,글· 한날,파란정원
소원 떡집,"김리리 글,이승현 그림",비룡소
알사탕,백희나 글·그림,
당근 유치원,안녕달,창비
만약의 세계,"요시타케 신스케 글·그림,양지연 옮김",김영사 :주니어김영사
아홉 살 마음 사전,"박성우 글,김효은 그림",창비
못 참는 아이 욱하는 부모 : 분노조절장애의 시대를 사는 대한민국 부모에게 주는 육아 멘토 오은영 박사의 감정 조절 육아법,오은영 지음,대성 Korea.com
수박 수영장 : 안녕달 그림책,안녕달 지음,창비
마법에 걸린 병,고경숙 글·그림,재미마주
푸른 사자 와니니,"이현 지음,오윤화 그림",창비
만복이네 떡집,"김리리 글,이승현 그림.",비룡소
장군이네 떡집,"김리리 글,이승현 그림",비룡소
코로나 이후의 세계,"제이슨 솅커 지음,박성현 옮김",미디어숲 :다빈치하우스
마음챙김의 시,류시화 엮음,수오서재
돈의 속성 : 최상위 부자가 말하는 돈에 대한 모든 것,김승호,Snowfox(스노우폭스북스)
애쓰지 않고 편안하게,김수현 글·그림,놀(다산북스)
만남은 지겹고 이별은 지쳤다,색과 체,떠오름
"시선으로부터, : 정세랑 장편소설",정세랑,문학동네
"더 해빙 = ,The Having : 부와 행운을 끌어당기는 힘","이서윤,홍주연 공지음",수오서재
"통찰과 역설 = ,Insight & paradox : 본질을 알면 모순이 보인다",천공 지음,마음서재
하버드 상위 1퍼센트의 비밀 : 신호를 차단하고 깊이 몰입하라,정주영 지음,한국경제신문 :한경BP
뽕구새,"김경희, 정효정",생각비행
이게 정말 마음일까?,"요시타케 신스케 글·그림,양지연 옮김",주니어김영사 :김영사
(손오공의 한자 대탐험) 마법천자문,"유대영 글,홍거북 그림",북이십일 아울북
동시의 눈과 귀 : 신현득 서른일곱 번째 동시집,"신현득 시,음유진 그림",시간의물레
별을 줍는 아이들 : 이순애 동시집,이순애,한국문학세상
싸움소 벼락이,"박찬아 글,한용욱 그림",책과콩나무
(코믹 메이플스토리)수학도둑 : 종합편,"송도수 글,서정 엔터테인먼트 그림",서울문화사
우시산국 이바구 : 순우리말 바람 동시집,"김이삭 동시,정다연 그림",가문비어린이 :가문비
말의 무게 : 당신의 말의 무게는 얼마인가?,박경남 지음,북씽크
나를 힘들게 하는 또라이들의 세상에서 살아남는 법 : 알고 보면 쓸모 있는 분노 유발자의 심리학,"클라우디아 호흐브룬 지음,장혜경 옮김",생각의날개
5번 레인,"은소홀 글,노인경 그림",문학동네
(흔한남매) 안 흔한 일기,"흔한남매 원작,강효미 글,조병주 그림",Mirae N 아이세움 :미래엔
(흔한남매) 안 흔한 일기,"흔한남매 원작,강효미 글,조병주 그림",Mirae N 아이세움
용선생이 간다 : 세계 문화 여행,"사회평론 역사연구소 글,김지희,전성연 공그림,이우일 캐릭터",사회평론
(세계 문화 여행) 용선생이 간다,"사회평론 역사연구소 지음,뭉선생,윤효식 공그림,이우일 캐릭터",사회평론
용선생이 간다 : 세계 문화 여행,"사회평론 역사연구소 글,김지희,전성연 공그림,이우일 캐릭터",사회평론
아드님 진지 드세요,"강민경 글,이영림 그림",좋은책어린이
불량한 자전거 여행 : 김남중 장편동화,"김남중 지음,허태준 그림",창비
좋은 말씀 : 법정 스님 법문집,"법정, 맑고 향기롭게",시공사
사소해서 물어보지 못했지만 궁금했던 이야기 : 일상에서 발견하는 호기심 과학,사물궁이 잡학지식 지음,Arte(북이십일 아르테)
(읽으면서 바로 써먹는) 어린이 속담,한날 글·그림,파란정원
이상한 과자 가게 전천당,"히로시마 레이코 글,쟈쟈 그림,김정화 옮김",길벗스쿨
이상한 과자 가게 전천당,"히로시마 레이코 글,쟈쟈 그림,김정화 옮김",길벗스쿨
이상한 과자 가게 전천당,"히로시마 레이코 글,쟈쟈 그림,김정화 옮김",길벗스쿨
이상한 과자 가게 전천당,"히로시마 레이코 글,쟈쟈 그림,김정화 옮김",길벗스쿨
이상한 과자 가게 전천당,"히로시마 레이코 글,쟈쟈 그림,김정화 옮김",길벗스쿨
이상한 과자 가게 전천당,"히로시마 레이코 글,쟈쟈 그림,김정화 옮김",길벗스쿨
이상한 과자 가게 전천당,"히로시마 레이코 글,쟈쟈 그림,김정화 옮김",길벗스쿨
이상한 과자 가게 전천당,"히로시마 레이코 글,쟈쟈 그림,김정화 옮김",길벗스쿨
고 녀석 맛있겠다,"미야니시 타츠야 글·그림,백승인 옮김",
"나는 티라노사우루스다 = ,I am Tyrannosaurus","미야니시 타츠야 글·그림,허경실 옮김",
넌 정말 멋져,"미야니시 타츠야 글·그림,허경실 옮김",
영원히 널 사랑할 거란다,"미야니시 타츠야 글·그림,허경실 옮김",
나에게도 사랑을 주세요,"미야니시 타츠야 글·그림,허경실 옮김",
나는 당신을 사랑하고 있어요,"미야니시 타츠야 글·그림,허경실 옮김",
나를 닮은 당신이 좋아요,"미야니시 타츠야 글·그림,김지현 옮김",
널 만나서 정말 다행이야,"미야니시 타츠야 글·그림,김지현 옮김",
모두 다 사랑해,"미야니시 타츠야 글·그림,송소영 옮김",
나는 당신을 믿어요,"미야니시 타츠야 글·그림,송소영 옮김",
"고마워, 사랑해","미야니시 타츠야 글·그림,송소영 옮김",
영원히 함께해요,"미야니시 타츠야 글·그림,송소영 옮김",
오월의 달리기,"김해원 지음,홍정선 그림",푸른숲주니어
"강치가 들려주는우리 땅, 독도 이야기","신현배 글,홍정혜 그림",가문비어린이
(우리말 지킴이 최종규와 어린이가 함께 읽는) 숲에서 살려낸 우리말,"최종규 글,강우근 그림",철수와영희
보고 싶은 텔레비전 궁금한 방송국,"소피 바흐만 ...등글,토니두란 그림,김미겸 옮김",상수리나무
나도 저작권이 있어요! : 김기태 선생님의 교과서 속 저작권 이야기,"김기태 글,이홍기 그림",맥스퍼블리싱 :상수리나무
나비를 잡는 아버지,"현덕 글,원유성 그림",효리원
공자 아저씨네 빵가게,"김선희 글,강경수 그림,황희경 도움글",주니어김영사 :김영사
쌀뱅이를 아시나요,"김향이 글,김재홍 그림",파랑새
열 살에 꼭 알아야 할 한국사,"김영호 글,이용규 그림",나무생각
예쁘다고 말해 줘,"이상교 시,허구 그림",문학동네
식물 학교에 오세요!,"김성화,권수진 지음,이민하 그림",북멘토
아들과 함께 걷는 길,"이순원,그린이: LIMCHYA",실천문학사
"안녕, 나의 장갑 나무","자끄 골드스타인 글·그림,예빈 옮김",주니어김영사 :김영사
송아지가 뚫어 준 울타리 구멍,"손춘익 글,이은천 외 그림",웅진주니어 :웅진씽크빅
산에 가면 산나물 들에 가면 들나물 : 어린이를 위한 산나물 들나물 대백과,"오현식 글·사진,박은지 그림",논장
요렇게 해봐요 : 내 몸으로 ㄱ ㄴ ㄷ,김시영 글·그림,마루벌
안전 대장 리시토,"엘 에마토크리티코 글,알베르토 바스케스 그림,박나경 옮김",봄볕
안녕! 페넬로페가 인사해요,"안느 구트망 글,게오르그 할렌스레벤 그림,신수경 옮김",카멜레온북스
빨강 연필 : 신수현 장편동화,"글쓴이: 신수현,그린이: 김성희",비룡소
버럭 아빠와 지구 반 바퀴,"김혜리 글,이량덕 그림",김영사주니어
바우덕이,"임정진 글,이윤희 그림",푸른숲주니어
너 내가 그럴 줄 알았어,"김용택 지음,이혜란 그림",창비
날 좀 내버려 둬,양인자 외 지음,푸른책들
그러니까 역사가 필요해,"앙투안 사바 지음,핀조,송진욱 그림,박나리 옮김",노란상상
(가르쳐주세요!) 도형에 대해서,"신미정 지음,김희정 그림",지브레인(Gbrain)
발바닥 세계사 춤 이야기,"최미선 글,시은경 그림",가교
식물은 어떻게 겨울나기를 하나요?,"한영식 글,남성훈 그림",다섯수레
수학이 진짜 웃긴다고요,"김수경 글,조민정 그림",한솔수북
(세상에서 가장 엉뚱한) 땅따먹기 : 길이와 넓이,"펠리시아 로 글,앤 스콧 그림,황세림 옮김",푸른숲주니어 :푸른숲
방바닥 세계사 집 이야기,"이인옥 글,지문 그림",가교출판
밤을 지키는 사람들,"신순재 글, 한지선 그림",창비
"다 아는데 자꾸 말한다 : 주순영 선생님이 가르친 1, 2학년 아이들 일기와 시","초등학생 58명 글,주순영 엮음,김효은 그림",보리
내 안전습관이 어때서!,"김은정 글,손명자 그림",파란정원
나무는 즐거워 : 이기철 시,"이기철 시,남현주 그림",비룡소
동물들은 어떻게 겨울나기를 하나요?,"한영식 글,남성훈 그림",다섯수레
마음을 배달해 드립니다,"박현숙 글,지우 그림",좋은책신사고 좋은책어린이
바람 타고 달려라,"임정자 글,최정인 그림",문학동네
신기한 독,홍영우 글·그림,보리
꿈을 나르는 책 아주머니,"헤더 헨슨 글,데이비드 스몰 그림,김경미 옮김",비룡소
긴긴 겨울잠에 폭 빠진 동물들,"미셸 프란체스코니 글,카퓌신 마질 그림,이정주 옮김",개암나무
마왕의 수수께끼를 푼 돼지,백명식 글·그림,내인생의책
돼지책,"앤서니 브라운 글·그림,허은미 옮김",웅진주니어
내가 이상해?,"에린 프랭클 글,파울라 히피 그림,양승현 번역",키움
내가 어떻게!,"에린 프랭클 글,파울라 히피 그림,양승현 번역",키움
난 터프해!,"에린 프랭클 글,파울라 히피 그림,양승현 번역",키움
나무들이 재잘거리는 숲 이야기,"김남길 글,끌레몽 그림",풀과바람
내 꿈은 방울토마토 엄마 : 가슴 뛰는 꿈을 위한 작은 첫걸음,"허윤 글,윤희동 그림",키위북스
나는 커서 어떤 일을 할까?,"양지안 글,강경수 그림",스콜라:위즈덤하우스
내 친구들을 소개할게,"엘레나 아그넬로 글,아드리 르 루 그림,강이경 옮김",머스트비
멍멍 강아지로 변했어요,"유시나 글,임유정 그림",쉼어린이 :쉼
국기는 재미있다,"보코공방, 이승현",스마트베어 :예림당
교통안전 동화 : 늘보깨비가 버스를 탔어요,"오수연 글,이선희 그림",마들
건강을 책임지는 책 : 모두 건강하게 자라서 어른이 되자!,"채인선 글,윤진현 그림",토토북
(100 200 300) 물레를 돌려요,"채송화 글,육수련 그림",북이십일 을파소
가족을 주문해 드립니다!,"한영미 글,김다정 그림",살림어린이
말의 품격 : 말과 사람과 품격에 대한 생각들,이기주 지음,황소북스
"마음아, 넌 누구니 : 나조차 몰랐던 나의 마음이 들리는 순간",박상미 지음,한국경제신문 :한경BP
나는 뻔뻔한 엄마가 되기로 했다 : 엄마는 편안해지고 아이는 행복해지는 놀라운 육아의 기술 34,김경림 지음,메이븐
나를 함부로 판단할 수 없다 : 타인의 시선에서 자유로워지는 심리 수업,"테리 앱터 지음,최윤영 옮김",다산초당 :다산북스
행복해지는 연습을 해요 : 전승환 에세이,"전승환,사진: 전승환,Unsplash",허밍버드 :백도씨
마음의 온도는 몇 도일까요?,"정여민 시,허구 그림",주니어김영사
무례한 사람에게 웃으며 대처하는 법 : 인생 자체는 긍정적으로 개소리에는 단호하게,정문정 지음,가나출판사 :가나문화콘텐츠
나는 오늘도 경제적 자유를 꿈꾼다,청울림 지음,RHK(알에이치코리아)
서울이 아니어도 오를 곳은 오른다 : 수도권·지방 부동산의 미래 가치 분석,김학렬 지음,RHK(알에이치코리아)
나는 나로 살기로 했다 : 냉담한 현실에서 어른살이를 위한 to do list,글· 김수현,마음의숲
인생 우화,류시화,연금술사
운을 부르는 부자의 말투 : 말과 운의 관계를 알면 인생이 바뀐다,"미야모토 마유미 지음,김지윤 옮김",포레스트북스
이십일21세기를 위한 21가지 제언 : 더 나은 오늘은 어떻게 가능한가,"하라리유발 하라리 지음,옮긴이: 전병근",김영사
이제 우리가 꿈꿀 시간,"티머시 냅맨 글,헬린 옥슨버리 그림,이상희 옮김",시공주니어 :시공사
씨름 도깨비의 추석,"김효숙 글,이현희 그림",키즈엠
우리 할아버지,정설희 글·그림,
(미리 읽고 개념 잡는) 초등 통합 교과 : 쌩쌩 추운 겨울 어떻게 날까?,"최주영 글,박수지 그림",조선 books
(발명 토끼의) 친구 만드는 기계,"에디트 슈라이버 비케 글,카롤라 홀란트 그림,김영진 옮김",푸른숲주니어 :푸른숲
대신 사과하는 로봇 처음 사과하는 아이,"코스타스 하랄라스 글,리다 초우니카 그림,김호정 옮김",책속물고기
달이네 추석맞이,"선자은 글,차정인 그림",푸른숲주니어
낙엽이 속닥속닥,한태희 글·그림,예림당
나를 지키는 안전 수첩 : 유괴·성폭력 예방 그림책,"서보현 글,김령언 그림",한솔수북
깜깜 마녀는 안전을 너무 몰라,"김은의, 박우희",스콜라:위즈덤하우스
김치가 최고야,"김난지 글,최나미 그림",천개의바람
100개의 눈사람,"앙드레 풀랭 글,친 렁 그림,김혜영 옮김",리틀씨앤톡
아빠하고 나하고 얼음 썰매 타러 가요,양상용 글·그림,보리
숭례문,"서찬석 글,주보희 그림",미래아이
사자와 마녀와 옷장,"C. S 루이스 원작,히아윈 오람 글,튜더 험프리스 그림,햇살과나무꾼 옮김",시공주니어
내가 영웅이라고?,"존 블레이크 글,악셀 셰플러 그림,서애경 옮김",사계절
레니와 빌리의 빨간 풍선,김남진 글·그림,사계절
"이웃의 이웃에는 누가 살지? : 더 큰 가족, 이웃을 만나는 책","채인선 지음,김우선 그림",미세기
(모두가 궁금해하는) 열과 온도의 비밀,"사마키 다케오 감수,김정환 옮김.",상상의집
니 꿈은 뭐이가? : 비행사 권기옥 이야기,"박은정 글,김진화 그림",웅진주니어
어머니 이야기,"한스 크리스티안 안데르센 지음,조선경 그림,강신주 옮김",북하우스 퍼블리셔스
지구인만큼 지구를 사랑할 순 없어 : 정세랑 에세이,정세랑,위즈덤하우스
"아들아, 돈 공부해야 한다 : 50억 부자 아빠의 현실 경제 수업",정선용 지음,RHK(알에이치코리아)
나는 당신이 주식 공부를 시작했으면 좋겠습니다 : 보이지 않는 세상에서 투자하는 법,이효석 지음,Page2(페이지2북스)
7년의 밤 : 정유정 장편소설,정유정 지음,은행나무
"메타버스 = ,Metaverse : 디지털 지구, 뜨는 것들의 세상",김상균 지음,플랜비디자인
올바름이라는 착각 : 우리는 왜 조던 피터슨에 열광하는가,유튜브 읽어주는 남자,데이포미 :바이포엠
고구려 : 김진명 역사소설,김진명,이타(이타북스)
"(잘될 운명으로 가는) 운의 알고리즘 = ,The algorithm of luck",정회도 지음,Soul Society(소울소사이어티)
공정하다는 착각 : 능력주의는 모두에게 같은 기회를 제공하는가,"마이클 샌델 지음,함규진 옮김",와이즈베리:미래엔
왜 일하는가 : 지금 당신이 가장 뜨겁게 물어야 할 첫 번째 질문,"이나모리 가즈오,옮긴이: 김윤경",다산북스
(고수들은 알았지만 당신은 몰랐던) 부동산 상승신호 하락신호,신현강 지음,잇콘
질서 너머 : 인생의 다음 단계로 나아가는 12가지 법칙,"조던 피터슨 지음,김한영 옮김",웅진지식하우스 :웅진씽크빅
그라운드 업 : 스타벅스 하워드 슐츠의 원칙과 도전,"하워드 슐츠,조앤 고든 지음,안기순 옮김",행복한북클럽
돈의 역사는 되풀이된다 : 돈의 흐름을 읽는 눈,홍춘욱 지음,포르체
생각이 너무 많은 서른 살에게 : 25년간 세계 최고의 인재들과 일하며 배운 것들,김은주 지음,메이븐
해커스 토익 Reading,데이비드 조 지음,해커스어학연구소
순간의 철학 : 찰나에서 시작하여 영원으로 깊어지는 인문학 이야기,함돈균 지음,난다
"당신의 말이 역사가 되도록 : 구술을 어떻게 듣고, 기록할 것인가","이호연,유해정,박희정 지음",코난북스
"진짜 아픈 사람 맞습니다 : 교도소로 출근하는 청년 의사, 그가 만난 감춰진 세계",최세진 지음,어떤책
사회학적 방법의 규칙들 : 뒤르켐 사회학 방법론의 이해,"에밀 뒤르켐 지음,윤병철,박창호 공옮김",새물결
"플랫폼 비즈니스의 미래 = ,The future of platform business : 디지털 플랫폼 전쟁에서 어떻게 승리할 것인가","이성열,양주성 지음",리더스북 :웅진씽크빅
흔한남매 과학 탐험대,"원작: 흔한남매, 이재국,이현진, 김덕영",주니어김영사 :김영사
국수 : 김숨 소설집,김숨,창비
낙타의 뿔 : 윤순례 장편소설,윤순례,은행나무
노예 틈입자 파괴자 : 이치은 장편소설,이치은,알렙
극해 : 임성순 장편소설,임성순,은행나무
"디멘젼 머신 = ,Dimension machine",오인석,좋은땅
바벨 : 정용준 장편소설,정용준,문학과지성사
목화 : 소설 문익점 : 표성흠 장편소설,표성흠,산지니
보헤미안 랩소디 : 정재민 장편소설,정재민,나무옆의자
말하자면 좋은 사람 : 정이현 짧은 소설,"정이현,그린이: 백두리",마음산책
바다로 간 오리 : 김제철 소설,김제철,작가와비평
밤의 여행자들 : 윤고은 장편소설,윤고은 지음,민음사
샛별클럽의 천사들 : 임세혁 장편소설,임세혁,테라스북
수박 : 이은조 소설집,이은조,작가정신
양춘단 대학 탐방기 : 박지리 장편소설,박지리,사계절
예테보리 쌍쌍바 : 박상 소설,박상,작가정신
왕자 이우 : 조선왕조의 마지막 자존심 : 김종광 장편소설,김종광,다산북스
원동중 야구부,김형주 지음,책에이름
퀼트 탑 : 홍영숙 소설집,홍영숙,문이당
"퀼트, 퀼트 : 양선미 소설집",양선미,현대문학
"그럼에도 여행 : 소유흑향, 무모해서 눈부신 청춘의 기록",노경원 지음,Seedpaper(시드페이퍼)
"Herstory = ,허스토리 : 최문정 장편소설",최문정,다차원북스
개로 그리다 : 올드독 작가 정우열과 반려견 소리 그리고 풋코의 동고동락 10년,정우열 지음.,알에이치코리아
고맙다는 말 사랑한다는 말 힘내라는 말,김요한 지음,바이북스
아트로드 : 스물넷에 떠난 컬러풀한 세계일주,글· 김물길,RHK(알에이치코리아)
산 아래 작은 암자에는 작은 스님이 산다,현진,담앤북스
사랑의 황금률 : 문학평론가 이경호의 풍요로운 문학의 길을 찾아가는 에세이,"이경호 글,토끼도둑 그림",황금알
모든 아빠는 딸들의 첫사랑이었다 : 딸에게 물려주는 아빠의 아이디어 노트,"이경모 지음,송민선 그림",이야기나무
마술 라디오 : 오래 걸을 때 나누고 싶은 이야기,정혜윤 지음,한겨레출판
또또,조은 지음,로도스
때로는 마음도 체한다 : 내 마음의 상처 보듬어 주기,변상규 지음,에디터
된장 담그는 시인 : 이위발 산문집 : 이위발 산문집 : 이위발 산문집,이위발 지음,엠블라
당신은 나의 봄입니다,"윤세영 지음,김수진 그림",이답
(말글레터) 당신과 나누고 싶은 이야기가 있었다 : 말과 글에 대한 김재화의 생각,김재화 지음,디아스포라
낯선 바람을 따라 떠나라,신혜은 찍고 씀.,교보문고
나는 달걀 배달하는 농부,김계수 지음,나무를 심는 사람들
"글로벌 거지 부부 : 국적 초월, 나이 초월, 상식 초월, 9살 연상연하 커플의 무일푼 여행기",박건우 지음,소담출판사 :태일소담
그저 바라볼 수만 있어도,박도순 지음,사진예술사
엄마의 등 : 김혜란 포토에세이,김혜란,수필과비평사
낙타 코끼리 얼룩말 : 정익진 시집,정익진,신생
